FORMA	LEMMA	CATEGORIA
vivaio	vivaio	public (place)
vivai	vivaio	public (place)
circolo	circolo	commercial (place)
circoli	circolo	commercial (place)
circolino	circolo	commercial (place)
circolini	circolo	commercial (place)
confetteria	confetteria	commercial (place)
confetterie	confetteria	commercial (place)
copisteria	copisteria	commercial (place)
copisterie	copisteria	commercial (place)
cremeria	cremeria	commercial (place)
cremerie	cremeria	commercial (place)
creperia	creperia	commercial (place)
creperie	creperia	commercial (place)
ditta	ditta	commercial (place)
ditte	ditta	commercial (place)
drogheria	drogheria	commercial (place)
drogherie	drogheria	commercial (place)
edicola	edicola	commercial (place)
edicole	edicola	commercial (place)
emporio	emporio	commercial (place)
empori	emporio	commercial (place)
erboristeria	erboristeria	commercial (place)
erboristerie	erboristeria	commercial (place)
fast food	fast food	commercial (place)
ferramenta	ferramenta	commercial (place)
ferramente	ferramenta	commercial (place)
fioreria	fioreria	commercial (place)
fiorerie	fioreria	commercial (place)
friggitoria	friggitoria	commercial (place)
friggitorie	friggitoria	commercial (place)
fumetteria	fumetteria	commercial (place)
fumetterie	fumetteria	commercial (place)
gioielleria	gioielleria	commercial (place)
gioiellerie	gioielleria	commercial (place)
hotel	hotel	commercial (place)
hotels	hotel	commercial (place)
hôtel 	hotel	commercial (place)
hôtels	hotel	commercial (place)
ipermercato	ipermercato	commercial (place)
ipermercati	ipermercato	commercial (place)
istituto di credito	istituto di credito	commercial (place)
istituti di credito	istituto di credito	commercial (place)
iglù	iglù	civil (place)
laminatoio	laminatoio	industrial (place)
laminatoi	laminatoio	industrial (place)
banca del seme	banca del seme	civil (place)
banche del seme	banca del seme	civil (place)
sala da tè	sala da tè	commercial (place)
sale da tè	sala da tè	commercial (place)
sala da the	sala da tè	commercial (place)
sale da the	sala da tè	commercial (place)
impianto sportivo	impianto sportivo	civil (place)
impianti sportivi	impianto sportivo	civil (place)
acetaia	acetaia	industrial (place)
acetaie	acetaia	industrial (place)
autolavaggio	autolavaggio	commercial (place)
autolavaggi	autolavaggio	commercial (place)
vetreria	vetreria	industrial (place)
vetrerie	vetreria	industrial (place)
drive-in	drive-in	commercial (place)
casa con intelaiatura a traliccio	casa con intelaiatura a traliccio	civil (place)
case con intelaiatura	casa con intelaiatura a traliccio	civil (place)
discoteca	discoteca	commercial (place)
discoteche	discoteca	commercial (place)
nursery	nursery	civil (place)
nursery	nursery	civil (place)
distilleria	distilleria	industrial (place)
distillerie	distilleria	industrial (place)
acceleratore di particelle	acceleratore di particelle	civil (place)
acceleratori di particelle	acceleratore di particelle	civil (place)
autocarrozzeria	autocarrozzeria	commercial (place)
autocarrozzerie	autocarrozzeria	commercial (place)
gelateria	gelateria	commercial (place)
gelaterie	gelateria	commercial (place)
falegnameria	falegnameria	industrial (place)
falegnamerie	falegnameria	industrial (place)
casina	casina	commercial (place)
casine	casina	commercial (place)
inceneritore	inceneritore	civil (place)
inceneritori	inceneritore	civil (place)
bastione	bastione	military (place)
bastioni	bastione	military (place)
casaforte	casaforte	military (place)
caseforti	casaforte	military (place)
armeria	armeria	military (place)
armerie	armeria	military (place)
aerovia	aerovia	civil (place)
aerovie	aerovia	civil (place)
drive-through	drive-through	commercial (place)
impianto di depurazione	impianto di depurazione	industrial (place)
impianti di depurazione	impianto di depurazione	industrial (place)
osmiza	osmiza	commercial (place)
osmize	osmiza	commercial (place)
castelliere	castelliere	military (place)
castellieri	castelliere	military (place)
superstore	superstore	commercial (place)
superstores	superstore	commercial (place)
chiesa	chiesa	religious (place)
chiese	chiesa	religious (place)
chiesetta	chiesa	religious (place)
chiesette	chiesa	religious (place)
chiesina	chiesa	religious (place)
chiesine	chiesa	religious (place)
videoteca	videoteca	commercial (place)
videoteche	videoteca	commercial (place)
ufficio	ufficio	civil (place)
uffici	ufficio	civil (place)
raffineria	raffineria	industrial (place)
raffinerie	raffineria	industrial (place)
piantagione	piantagione	rural (place)
piantagioni	piantagione	rural (place)
smart shop	smart shop	commercial (place)
smart shop	smart shop	commercial (place)
torre difensiva	torre difensiva	military (place)
torri difensive	torre difensiva	military (place)
maniero	maniero	rural (place)
manieri	maniero	rural (place)
grande magazzino	grande magazzino	commercial (place)
grandi magazzini	grande magazzino	commercial (place)
sexy shop	sexy shop	commercial (place)
sexy shops	sexy shop	commercial (place)
auditorium	auditorium	public (place)
seminario	seminario	religious (place)
seminari	seminario	religious (place)
casa a striscia	casa a striscia	civil (place)
case a striscia	casa a striscia	civil (place)
cannabis shop	cannabis shop	commercial (place)
ricetto	ricetto	military (place)
ricetti	ricetto	military (place)
alligator farm	alligator farm	rural (place)
sala giochi	sala giochi	commercial (place)
sale giochi	sala giochi	commercial (place)
casa créola	casa créola	civil (place)
case crèole	casa créola	civil (place)
polo fieristico	polo fieristico	commercial (place)
poli fieristici	polo fieristico	commercial (place)
caffetteria	caffetteria	commercial (place)
caffetterie	caffetteria	commercial (place)
capitaneria	capitaneria	military (place)
capitanerie	capitaneria	military (place)
cash and carry	cash and carry	commercial (place)
cash and carry	cash and carry	commercial (place)
mercato	mercato	commercial (place)
mercati	mercato	commercial (place)
mercatino	mercato	commercial (place)
mercatini	mercato	commercial (place)
piazzaforte	piazzaforte	military (place)
piazzeforti	piazzaforte	military (place)
cantiere	cantiere	civil (place)
cantieri	cantiere	civil (place)
azienda agricola	azienda agricola	rural (place)
aziende agricole	azienda agricola	rural (place)
asilo nido	asilo nido	civil (place)
asili nido	asilo nido	civil (place)
casa unifamiliare	casa unifamiliare	civil (place)
case unifamiliari	casa unifamiliare	civil (place)
castellaro	castellaro	military (place)
castellari	castellaro	military (place)
agadir	agadir	military (place)
torre di controllo	torre di controllo	civil (place)
torri di controllo	torre di controllo	civil (place)
corderia	corderia	industrial (place)
corderie	corderia	industrial (place)
tempio	tempio	religious (place)
templi	tempio	religious (place)
tempietto	tempio	religious (place)
tempietti	tempio	religious (place)
biglietteria	biglietteria	commercial (place)
biglietterie	biglietteria	commercial (place)
call center	call center	commercial (place)
call centers	call center	commercial (place)
basilica	basilica	religious (place)
basiliche	basilica	religious (place)
basilicuccia	basilica	religious (place)
b	basilica	religious (place)
casa ad alveare	casa ad alveare	civil (place)
case ad alveare	casa ad alveare	civil (place)
casa lunga	casa lunga	civil (place)
case lunghe	casa lunga	civil (place)
poligono di tiro	poligono di tiro	military (place)
poligoni di tiro	poligono di tiro	military (place)
elisuperficie	elisuperficie	civil (place)
elisuperfici	elisuperficie	civil (place)
duty-free shop	duty-free shop	commercial (place)
duty-free	duty-free shop	commercial (place)
duty free	duty-free shop	commercial (place)
allevamento	allevamento	rural (place)
allevamenti	allevamento	rural (place)
casa storica	casa storica	civil (place)
case storiche	casa storica	civil (place)
cottage	cottage	civil (place)
cottages	cottage	civil (place)
casa sull’albero	casa sull’albero	civil (place)
case sull'albero	casa sull’albero	civil (place)
canonica	canonica	civil (place)
canoniche	canonica	civil (place)
osservatorio astronomico	osservatorio astronomico	civil (place)
osservatori astronomici	osservatorio astronomico	civil (place)
struttura alberghiera	struttura alberghiera	commercial (place)
strutture alberghiere	struttura alberghiera	commercial (place)
caseificio	caseificio	industrial (place)
caseifici	caseificio	industrial (place)
chiosco	chiosco	commercial (place)
chioschi	chiosco	commercial (place)
chioschetto	chiosco	commercial (place)
chioschetti	chiosco	commercial (place)
santuario	santuario	religious (place)
santuari	santuario	religious (place)
casa prodigio	casa prodigio	civil (place)
case prodigio	casa prodigio	civil (place)
ninfeo	ninfeo	religious (place)
ninfei	ninfeo	religious (place)
casa bifamiliare	casa bifamiliare	civil (place)
case bifamiliari	casa bifamiliare	civil (place)
studio di registrazione	studio di registrazione	commercial (place)
studi di registrazione	studio di registrazione	commercial (place)
outlet	outlet	commercial (place)
outlet	outlet	commercial (place)
freeshop	freeshop	commercial (place)
concessionario di auto	concessionario di auto	commercial (place)
concessionari di auto	concessionario di auto	commercial (place)
concessionari d'auto	concessionario di auto	commercial (place)
concessionario d'auto	concessionario di auto	commercial (place)
miniera	miniera	industrial (place)
minieri	miniera	industrial (place)
fumeria	fumeria	commercial (place)
fumerie	fumeria	commercial (place)
bungalow	bungalow	rural (place)
bungalows	bungalow	rural (place)
base missilistica	base missilistica	military (place)
basi missilistiche	base missilistica	military (place)
apiario	apiario	rural (place)
apiari	apiario	rural (place)
cittadella	cittadella	military (place)
cittadelle	cittadella	military (place)
fossato	fossato	military (place)
fossati	fossato	military (place)
impianto chimico	impianto chimico	industrial (place)
impianti chimici	impianto chimico	industrial (place)
torre martello	torre martello	military (place)
torri martello	torre martello	military (place)
torre di avvistamento	torre di avvistamento	military (place)
torri di avvistamento	torre di avvistamento	military (place)
banco dei pegni	banco dei pegni	commercial (place)
banchi dei pegni	banco dei pegni	commercial (place)
casa di spedizioni	casa di spedizioni	commercial (place)
case di spedizioni	casa di spedizioni	commercial (place)
casa di spedizione	casa di spedizioni	commercial (place)
case di spedizioni	casa di spedizioni	commercial (place)
ditta di spedizioni	ditta di spedizioni	commercial (place)
ditte di spedizioni	ditta di spedizioni	commercial (place)
monte di pietà	monte di pietà	commercial (place)
monti di pietà	monte di pietà	commercial (place)
palazzo	palazzo	civil (place)
palazzine	palazzo	civil (place)
palazzone	palazzo	civil (place)
palazzoni	palazzo	civil (place)
palazzaccio	palazzo	civil (place)
palazzacci	palazzo	civil (place)
palazzetto	palazzo	civil (place)
palazzetti	palazzo	civil (place)
bordello	bordello	commercial (place)
bordelli	bordello	commercial (place)
lupanare	lupanare	commercial (place)
lupanari	lupanare	commercial (place)
