Forma grafica;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
failur;4;5;2;2;4;4;3;3;2;0;8;4;1;2;2;4;2;5;2;2;6;5;4;3;2;0;0;0;1;0;2;3;2;2;1;0;2;1;0;0;0;0;1;1;1;0;3;2;3;0;0;3;2;0;0;2;0
variabl;1;2;4;2;2;4;2;3;6;3;0;4;0;3;1;4;3;6;1;2;3;5;4;4;2;3;2;1;2;2;4;1;5;1;2;0;1;2;0;0;0;1;0;1;1;1;2;2;0;0;1;1;1;0;1;4;0
learn;6;9;5;5;6;3;3;3;5;5;5;4;1;0;5;2;2;2;2;2;2;1;2;0;1;1;0;2;0;1;1;0;1;0;2;0;0;1;0;2;2;1;2;0;0;1;1;1;0;3;0;2;0;2;2;1;1
valid;0;1;1;0;0;3;2;0;0;4;0;5;0;4;2;2;3;9;2;2;6;3;4;6;0;0;7;3;1;1;1;3;2;0;3;2;2;3;3;1;1;1;2;1;2;1;1;1;0;0;2;0;1;4;2;1;0
consist;1;1;3;0;1;5;2;2;1;4;5;2;0;3;3;3;3;4;0;8;7;2;3;1;1;2;2;0;2;1;4;0;5;2;0;0;1;2;3;2;2;1;2;3;0;2;0;2;1;2;0;0;1;2;1;0;0
action;2;0;0;1;0;0;1;1;4;0;0;2;0;3;0;3;2;2;1;3;5;3;2;1;4;2;2;1;0;1;2;2;0;1;2;4;2;6;1;4;1;4;2;3;0;1;6;2;0;0;7;1;1;2;3;4;3
achiev;4;2;6;2;1;1;2;3;3;2;4;5;0;1;3;1;2;1;4;4;4;4;4;1;0;1;0;2;3;1;0;2;4;3;1;0;3;1;2;0;1;4;3;0;4;0;0;1;1;3;1;1;0;0;2;2;0
arous;2;7;4;3;7;5;5;8;3;7;3;4;1;3;3;4;3;3;4;4;1;2;1;4;4;2;1;1;3;2;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
associ;4;5;1;4;1;1;0;0;2;0;1;2;0;0;0;0;2;0;2;2;5;2;4;0;3;1;1;0;0;1;2;1;1;4;3;3;2;1;4;1;1;1;2;4;3;0;3;2;3;2;3;3;1;7;1;6;1
moder;0;0;0;0;0;0;1;0;1;1;2;0;1;1;1;0;2;3;2;4;1;3;4;5;3;3;6;3;5;2;2;0;6;5;1;3;3;1;1;1;4;2;1;5;1;1;1;3;1;3;3;1;0;1;1;3;1
conflict;1;0;3;2;0;1;0;6;2;1;2;2;0;0;1;2;0;4;1;1;3;4;5;3;1;4;0;4;1;4;4;2;1;1;1;0;1;1;1;2;4;3;2;2;2;1;2;3;5;0;0;3;2;0;6;1;0
mean;2;2;3;3;1;3;1;1;1;4;3;0;1;1;0;1;3;2;3;5;3;1;1;2;0;0;0;1;0;2;0;3;4;4;2;0;0;0;3;1;0;1;1;1;3;2;3;2;3;1;4;7;0;2;6;4;1
set;4;1;1;6;3;3;1;1;2;3;5;4;1;1;5;3;2;4;3;2;2;2;1;1;3;4;3;2;1;5;3;2;1;0;0;0;4;1;3;0;1;2;1;2;2;0;1;1;0;0;0;0;0;0;3;1;0
reward;7;6;4;5;3;1;2;4;5;2;6;8;1;5;2;4;1;3;6;1;3;3;3;1;0;0;0;0;1;2;0;0;1;2;0;0;1;1;0;0;0;0;0;1;0;0;2;0;2;1;0;1;1;3;1;0;1
strategi;3;0;2;2;1;1;1;2;2;2;2;1;2;3;2;2;2;4;4;4;6;3;3;1;3;5;0;2;3;3;2;0;2;1;2;3;0;3;4;2;1;0;0;2;2;0;2;2;2;0;0;1;1;1;0;1;0
experiment;4;8;8;4;3;11;2;5;7;4;6;2;1;1;1;2;0;1;3;1;1;4;2;1;1;0;0;2;0;0;1;1;3;0;0;0;0;0;2;1;0;1;2;0;0;1;1;1;1;0;0;0;0;1;1;1;1
scale;4;3;3;1;0;1;1;2;1;2;0;0;1;4;1;7;3;4;3;4;4;0;1;9;4;3;4;2;1;2;0;2;5;2;1;2;0;1;0;0;1;0;0;0;2;1;1;0;1;1;3;0;0;2;0;1;2
express;2;2;0;2;1;3;1;1;0;3;1;2;0;0;4;3;0;1;2;1;3;3;3;1;2;1;1;1;2;3;2;1;1;3;1;2;2;1;3;1;1;3;4;3;1;2;4;0;0;4;3;2;1;1;2;2;2
dure;0;1;0;2;0;4;0;1;0;2;3;3;2;0;1;3;4;1;1;2;7;4;1;4;4;0;4;0;2;1;4;1;3;1;1;1;2;3;1;1;1;0;2;4;3;0;2;0;1;4;0;0;0;2;1;3;2
face;0;2;0;2;1;1;2;2;2;1;2;0;0;1;4;1;0;2;1;0;0;2;0;1;0;2;3;1;0;2;3;2;1;2;0;2;3;4;0;1;2;3;2;3;4;5;3;3;1;1;0;1;1;4;8;2;2
event;1;0;1;1;0;1;1;1;1;2;2;2;1;1;0;3;2;4;1;1;4;1;2;4;0;4;5;3;4;6;4;3;1;3;2;2;2;3;1;1;0;2;2;2;1;1;0;1;2;1;0;0;2;0;0;1;0
norm;1;0;3;2;0;2;3;1;4;0;1;4;0;1;1;1;2;1;1;0;1;0;2;1;3;3;0;2;3;0;0;2;2;6;0;3;5;1;1;0;1;1;0;6;2;0;4;3;0;0;2;0;3;1;4;4;1
reinforc;11;7;8;10;6;4;8;8;8;4;5;3;1;1;1;1;0;2;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
stabil;0;0;1;0;1;1;0;0;0;1;1;2;0;0;1;0;0;2;3;2;2;5;4;0;4;1;3;2;6;3;2;2;5;1;1;0;1;2;1;2;1;3;2;1;1;1;4;3;0;1;1;3;4;2;2;2;1
hypothesi;0;1;1;1;2;2;1;1;3;2;4;4;3;2;1;3;3;2;3;3;1;6;1;7;5;2;1;1;1;2;3;0;2;0;2;0;0;1;1;0;1;1;0;3;1;1;1;1;1;0;1;1;1;1;1;1;0
outcom;0;1;1;0;0;0;4;3;1;3;7;4;0;1;2;2;2;2;2;2;1;4;1;1;0;2;1;2;2;1;1;1;2;3;2;1;1;2;1;1;1;1;3;2;2;0;0;2;0;0;5;1;2;1;2;4;0
prejudic;0;2;3;0;0;0;1;1;2;0;3;2;0;0;0;0;1;0;0;0;1;1;1;0;1;0;1;0;2;2;2;2;5;1;2;2;8;5;3;0;2;1;3;2;7;3;2;3;2;0;2;3;1;1;2;3;2
pattern;3;4;0;1;0;0;0;2;1;1;0;3;1;4;1;4;2;4;7;6;4;7;4;2;1;2;1;0;1;3;0;1;1;4;1;0;0;1;0;2;1;2;0;0;3;1;1;0;1;1;2;0;0;0;1;1;0
cue;1;5;2;1;4;0;3;3;1;6;4;0;1;3;3;4;2;1;2;4;0;1;2;0;3;2;1;1;0;3;0;0;0;0;1;2;1;4;0;2;1;2;0;3;1;2;1;1;1;0;0;1;1;3;1;1;0
accuraci;1;3;1;2;0;0;1;0;1;1;0;1;0;0;0;0;0;2;2;0;1;2;3;2;1;3;5;4;2;3;2;3;3;2;4;0;1;1;4;0;1;2;0;3;0;1;4;2;2;2;1;2;0;2;3;6;0
attach;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;1;0;5;2;5;4;6;6;2;4;2;5;3;5;3;2;3;4;2;2;2;3;0;2;3;6;4;0
attitud chang;4;7;2;7;5;7;5;7;5;6;2;8;1;1;1;1;1;1;0;1;0;2;0;1;1;2;1;1;1;0;1;0;0;1;0;0;0;0;1;1;0;2;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0
style;2;3;0;2;1;3;5;0;1;2;4;1;0;1;3;0;1;1;3;4;3;5;4;4;2;0;2;1;0;2;0;2;3;5;4;3;0;0;3;0;0;1;0;1;1;1;0;1;1;1;2;0;0;0;1;1;0
adult;3;0;1;0;0;3;2;1;0;5;4;2;0;0;2;1;3;2;2;3;4;7;0;3;1;3;4;2;0;2;0;0;4;2;0;2;4;0;0;1;1;1;1;0;1;0;1;0;0;1;1;1;2;1;5;2;0
need;4;6;2;1;1;0;2;0;2;2;3;1;1;2;0;0;1;2;3;0;1;2;2;1;0;1;2;2;3;2;1;1;1;2;2;1;3;2;0;1;2;3;3;3;2;1;5;1;0;2;0;0;2;2;0;2;0
abil;3;2;0;2;1;2;2;6;3;2;4;3;0;0;2;4;1;3;1;3;0;1;1;0;2;2;1;5;0;1;2;0;4;1;2;2;0;2;3;2;0;2;2;1;0;0;2;1;0;0;0;1;1;3;1;0;0
ag;1;1;3;1;0;2;0;2;1;1;1;4;2;1;0;2;1;2;1;2;3;3;0;1;3;1;1;2;0;3;1;2;0;2;0;1;1;3;2;0;3;0;1;1;1;1;3;1;3;0;1;4;1;4;5;2;0
state;0;1;0;1;2;0;1;2;3;2;1;1;0;2;2;1;5;2;4;0;1;2;2;1;2;2;5;1;0;2;3;1;2;3;0;2;4;3;1;2;0;0;3;2;0;1;2;0;0;0;0;0;3;2;1;3;2
import;1;2;0;2;0;0;1;1;0;3;3;1;0;1;3;1;0;1;2;1;1;1;1;2;2;4;1;1;3;2;1;4;2;3;0;2;2;1;0;2;1;1;4;4;1;1;2;1;0;1;1;3;1;3;3;2;1
cooper;3;3;4;5;1;2;5;4;3;2;6;6;0;0;0;4;0;2;0;1;2;1;0;2;1;1;1;1;0;1;0;1;2;0;2;0;0;1;2;1;2;0;2;1;1;0;0;0;2;0;0;0;1;4;3;0;1
reduc;2;2;1;0;1;1;2;2;1;0;1;1;1;1;1;2;0;2;4;2;2;0;0;0;2;3;1;0;0;1;1;0;2;0;1;0;1;1;1;2;1;2;3;2;4;5;0;3;3;1;3;2;1;2;3;4;2
increas;0;1;2;0;0;1;1;2;2;0;3;2;0;0;1;0;0;1;1;0;2;2;0;2;2;0;0;0;0;1;1;1;2;2;3;0;1;3;1;0;2;1;1;3;0;5;1;1;4;0;1;8;5;5;5;3;1
partner;1;1;1;0;0;0;1;2;1;0;0;2;1;1;0;0;1;0;1;0;1;2;1;0;0;0;2;0;2;1;1;2;6;4;4;2;1;1;1;1;1;3;2;0;4;2;3;2;1;4;2;5;0;1;5;3;3
natur;0;2;0;2;1;1;2;0;1;2;3;0;1;1;0;2;1;1;1;2;2;4;1;3;1;2;2;2;4;2;2;3;1;1;3;2;1;1;1;1;1;4;1;0;1;1;4;0;1;0;1;2;2;1;1;1;2
avoid;3;0;4;4;2;1;3;1;2;2;1;1;1;2;2;0;0;2;2;1;2;2;1;0;1;0;0;0;0;2;1;1;4;3;1;3;0;4;0;1;0;1;0;0;0;3;2;2;2;2;3;1;0;3;1;3;2
correl;2;4;3;2;2;0;0;0;1;2;2;3;2;0;2;2;0;3;0;1;3;3;3;3;0;4;4;0;2;1;2;0;1;0;1;1;0;1;1;0;0;0;1;1;2;0;0;1;6;0;0;3;0;3;2;3;2
creativ;1;2;3;3;0;3;1;0;0;1;2;0;2;1;2;0;1;2;2;1;4;2;4;2;0;0;0;1;0;1;2;1;2;3;2;1;2;0;1;2;2;1;0;5;1;2;2;4;1;0;3;1;2;1;2;1;0
integr;0;3;1;0;0;0;2;2;4;3;3;2;0;1;1;0;2;0;2;2;2;0;4;3;1;0;1;3;4;1;3;3;2;3;2;3;1;1;1;1;2;2;0;2;2;2;4;1;0;0;0;0;0;1;0;0;1
sexual;1;0;1;1;0;0;0;0;1;2;1;0;0;2;0;2;0;2;1;0;3;4;2;2;0;0;0;1;1;2;4;0;2;2;1;1;0;3;6;0;2;3;5;1;0;2;2;3;2;1;2;2;3;2;1;0;5
attent;1;1;0;1;0;3;1;2;3;0;0;3;1;0;8;7;3;3;2;2;0;3;2;1;5;0;1;3;0;1;0;0;2;1;1;2;2;2;2;0;1;1;2;0;2;1;1;0;0;1;1;1;0;1;1;1;0
causal;1;0;0;0;1;0;0;1;1;3;4;4;1;2;6;1;3;6;4;2;4;2;6;2;3;3;1;1;3;3;2;0;1;3;2;1;1;0;1;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
verbal;13;9;10;4;2;3;6;5;5;1;4;2;2;2;0;0;3;1;1;0;2;1;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
bias;1;0;0;1;0;1;0;0;0;0;1;0;3;1;6;1;5;2;2;1;6;1;5;1;5;1;1;1;2;1;0;2;3;2;2;2;1;1;0;1;2;0;0;1;0;1;3;1;1;1;1;0;0;3;5;1;0
type;3;3;2;1;3;0;2;2;0;4;2;2;1;0;0;1;3;1;4;4;8;10;2;2;4;3;1;0;1;0;0;1;1;0;3;0;0;1;1;0;0;2;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0
rate;3;1;1;2;2;0;4;3;2;2;5;1;1;0;3;2;3;7;0;2;1;3;1;2;2;0;2;1;4;2;1;2;2;1;0;1;0;0;1;2;0;2;0;2;2;1;0;0;0;0;0;0;0;0;1;1;0
parent;8;5;3;0;1;0;0;1;0;0;1;1;1;1;0;1;2;0;1;0;3;3;1;0;1;2;1;1;2;1;1;1;3;4;0;1;1;1;1;3;1;2;2;2;2;0;1;4;2;1;3;1;1;0;0;1;1
polit;0;1;0;1;0;0;0;3;2;2;1;2;0;2;0;0;1;1;5;1;1;1;2;2;0;1;1;1;0;2;2;7;4;0;0;0;0;0;2;1;0;0;1;0;0;2;0;4;3;1;2;2;1;5;1;7;2
exposur;6;2;3;3;1;1;4;3;2;3;4;2;2;1;5;2;2;0;1;1;2;0;1;2;0;2;0;1;2;0;2;2;0;0;0;0;1;1;2;0;3;0;0;2;1;0;3;0;0;1;0;0;0;0;2;2;0
concept;6;3;2;4;0;3;2;2;1;0;4;1;1;0;1;1;1;2;2;1;0;3;2;5;1;1;5;0;2;2;1;1;1;0;1;0;3;1;0;1;1;0;2;2;1;1;0;1;0;1;1;0;2;0;0;0;0
system;1;2;2;0;0;0;1;1;2;2;2;0;0;2;0;0;5;2;3;2;1;1;1;0;2;1;0;5;0;2;1;1;1;2;4;0;0;1;1;0;2;1;1;2;1;1;2;4;4;3;2;0;1;1;0;2;1
adjust;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;2;3;0;1;1;3;3;3;2;2;5;0;4;3;1;1;3;4;5;0;2;0;1;1;1;0;0;2;2;0;3;5;0;0;2;0;0;0;3;4;2;1
dimens;0;1;1;0;1;0;1;5;1;3;1;1;0;2;0;4;1;4;4;1;4;2;1;5;2;3;1;3;0;2;1;4;1;3;0;0;1;2;0;0;2;0;0;0;2;0;0;0;2;1;1;0;0;0;2;1;2
construct;0;1;0;0;0;0;0;0;1;0;0;2;0;2;1;0;1;6;2;2;3;1;2;5;1;3;2;2;3;0;1;8;5;2;2;1;0;2;3;1;0;2;1;0;0;1;2;3;0;0;2;0;1;0;0;2;0
induc;1;3;2;5;4;2;2;1;5;2;1;1;0;3;2;3;3;1;1;1;2;2;2;4;1;2;2;3;0;4;1;2;1;0;1;1;0;0;0;2;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0
social support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;4;7;5;4;2;6;4;3;7;2;2;5;3;4;1;0;0;0;0;2;1;0;1;1;0;1;0;0;0;1;0;0;1;1;1;2;0
human;0;1;0;0;0;3;0;3;2;1;2;3;1;1;0;2;1;1;3;1;3;2;3;2;0;0;3;2;2;1;0;3;1;0;0;0;1;0;2;0;2;5;0;2;0;1;0;3;0;1;1;3;0;4;1;2;2
specif;2;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;5;1;2;2;3;1;3;3;1;4;2;1;1;1;1;2;1;1;3;3;3;2;0;4;1;0;0;0;2;2;0;0;1;1;1;1;1;2;2;3
high;2;0;1;1;2;1;1;1;3;2;0;1;1;0;1;1;0;0;2;3;1;2;2;0;0;0;0;1;5;0;0;0;3;1;1;0;0;0;2;1;2;3;2;1;0;0;0;0;3;0;3;1;7;2;4;4;3
game;5;4;5;5;6;6;6;5;5;2;3;5;0;0;3;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;2;1;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0
thought;1;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1;3;0;1;0;3;3;1;2;0;2;3;1;1;3;2;3;5;2;1;2;0;3;2;2;1;3;3;2;1;0;3;1;0;1;1;1;0;2;2;1;0
feel;0;0;0;1;0;1;1;2;1;1;1;0;0;0;1;0;0;1;1;1;1;2;0;0;0;0;1;0;1;1;1;0;5;3;2;2;2;4;4;4;1;1;1;2;2;4;1;3;1;2;0;0;2;6;2;1;2
new;2;0;0;0;0;2;1;0;3;2;1;1;3;0;2;3;1;1;0;2;2;2;0;3;1;2;0;0;1;0;1;0;2;0;0;1;2;0;2;0;1;1;1;3;1;0;4;1;0;0;2;0;3;5;6;2;3
social comparison;1;1;0;1;0;2;1;0;0;1;0;2;0;1;2;0;0;1;3;3;3;2;2;3;2;1;1;2;1;4;1;1;3;2;2;5;2;3;2;4;1;1;3;2;1;0;0;0;0;0;0;1;0;0;0;0;1
infer;0;0;0;0;1;0;0;0;1;2;3;5;0;3;2;1;0;1;2;1;1;2;3;4;1;1;3;2;1;4;3;0;1;0;1;4;5;1;0;3;0;0;2;1;0;0;2;3;1;1;2;0;0;1;0;0;0
select;5;0;3;1;1;1;0;1;1;0;0;0;0;0;2;1;2;3;1;3;3;4;5;1;0;1;0;3;3;2;2;1;2;1;0;2;2;2;2;1;0;0;0;2;2;0;0;0;1;2;2;3;0;1;0;0;0
racial;0;1;2;0;0;3;0;2;4;1;6;1;0;1;1;1;2;0;0;0;0;1;0;1;0;0;0;0;1;0;2;1;3;1;0;0;1;1;2;1;2;4;2;2;1;2;2;3;2;0;2;0;3;3;1;3;3
distinct;0;0;0;0;0;0;0;0;2;2;1;3;0;1;2;4;2;0;6;2;1;5;0;0;2;0;3;1;0;2;3;3;1;4;1;3;2;2;2;2;0;0;0;1;1;0;0;1;3;0;0;0;3;1;0;2;0
conceptu;2;3;3;1;1;2;0;2;0;0;2;1;0;1;1;1;1;2;4;2;3;7;1;2;1;0;1;4;1;1;0;4;1;2;0;1;0;1;0;0;2;1;1;1;0;0;0;0;0;1;1;1;0;3;1;2;0
satisfact;2;1;0;0;0;0;1;0;0;2;2;0;0;1;0;1;3;0;1;1;3;1;3;1;1;2;4;0;1;3;1;3;3;2;1;1;2;2;0;2;0;1;1;0;0;1;1;1;2;3;2;2;0;1;4;1;2
discrimin;4;1;0;1;0;2;0;2;4;1;2;1;0;1;0;3;3;0;0;1;3;1;0;1;0;0;2;0;0;1;2;3;1;0;2;2;0;4;2;3;0;2;2;0;2;1;0;2;1;1;1;0;2;2;3;1;0
impress;0;1;0;3;1;0;0;1;1;0;3;2;0;0;3;2;1;3;3;1;0;2;1;1;3;4;0;1;2;4;1;1;0;3;3;1;0;0;0;1;2;1;0;1;1;1;2;0;0;1;2;1;0;1;4;3;0
physic;2;1;1;0;0;1;2;1;2;1;2;3;4;2;0;2;2;1;3;2;4;3;1;2;2;1;3;1;0;1;0;1;3;1;2;1;0;0;0;0;1;2;0;0;0;0;2;1;1;1;1;2;1;1;1;1;0
competit;4;4;3;2;1;2;2;1;1;2;3;5;0;3;1;2;0;2;0;1;0;0;0;2;3;2;0;0;0;0;0;1;2;1;1;0;1;2;2;1;2;0;1;0;0;0;0;1;1;1;1;2;1;1;3;1;0
think;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;3;2;2;0;1;0;4;1;0;4;1;3;2;2;1;0;2;5;2;2;2;3;4;2;1;0;2;1;1;0;2;3;0;3;3;2;1
examin;3;0;3;2;1;0;2;0;1;1;3;1;0;0;1;3;1;0;2;2;4;1;2;1;2;1;1;1;1;2;2;1;2;1;0;4;0;2;0;1;1;1;0;1;1;1;0;0;2;0;0;2;0;2;1;3;2
explan;0;0;0;0;0;1;3;1;0;2;2;1;3;0;3;1;2;0;4;3;6;3;0;1;4;1;0;0;2;2;3;2;1;2;1;3;2;1;1;0;1;0;2;0;4;0;0;0;1;1;0;0;0;1;0;0;1
men;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;2;0;1;1;3;2;1;1;4;0;2;1;1;0;3;1;2;5;0;1;1;0;0;2;3;2;2;2;2;1;1;1;4;4;1;1;3;0;2;1;2;1
consensu;0;1;1;0;1;1;1;1;0;1;1;4;2;0;2;7;0;4;4;3;3;1;2;4;1;4;0;1;1;1;1;0;4;0;0;1;2;1;0;0;2;0;1;0;1;2;0;0;1;1;1;0;1;0;0;0;0
make;0;0;0;1;0;0;1;0;0;1;2;0;3;0;4;1;0;1;0;0;6;2;0;1;1;1;0;2;1;2;0;0;3;3;1;1;1;2;1;2;0;1;1;3;0;2;5;0;2;4;0;0;0;3;3;2;1
characterist;1;5;1;2;0;0;1;2;0;2;2;1;0;1;0;2;2;2;3;3;3;5;0;1;2;0;2;1;1;0;0;2;1;1;0;1;0;0;0;3;0;0;2;0;0;1;2;0;0;1;0;0;2;4;3;1;1
knowledg;0;0;0;0;0;1;2;0;0;1;1;0;0;1;0;2;3;3;0;3;1;0;3;1;0;0;2;3;1;1;0;3;2;2;2;3;1;2;1;1;2;3;2;1;2;1;1;2;1;1;2;2;2;0;1;1;0
compet;0;1;1;2;1;4;3;0;1;2;3;3;0;1;1;1;3;0;1;1;1;6;1;3;2;0;0;1;3;2;1;0;2;0;1;1;0;1;0;0;2;0;2;2;3;0;0;0;0;1;1;0;0;2;1;2;0
support;1;0;0;0;2;1;2;0;0;1;1;0;0;0;0;2;0;0;1;2;2;1;1;1;2;0;1;4;0;1;2;2;1;3;0;2;2;0;0;3;2;1;0;5;0;1;1;1;1;2;2;2;1;3;2;2;3
domin;1;1;3;2;0;0;2;1;0;1;1;0;1;0;1;1;3;1;1;0;2;2;3;2;1;1;0;0;1;3;1;1;2;0;1;1;1;1;5;1;1;1;4;1;2;1;0;3;2;0;1;0;0;1;1;3;0
disposit;0;0;0;0;0;0;2;0;3;0;0;0;0;3;0;3;1;0;1;0;2;1;2;1;3;2;1;1;0;6;1;4;2;4;3;2;4;2;2;1;0;1;1;1;2;1;1;1;1;0;2;0;2;0;0;0;0
self concept;2;1;0;0;0;0;0;0;0;0;2;2;0;1;0;2;0;3;2;1;4;5;1;2;1;2;2;2;3;0;2;3;1;3;0;2;1;2;2;0;1;4;3;0;3;1;1;0;0;0;0;0;0;0;0;1;1
collect;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;2;0;0;1;0;2;3;0;1;0;5;2;1;3;5;0;0;0;0;2;2;1;1;3;3;0;2;2;1;3;1;0;1;1;7;5;2
conform;4;11;8;2;0;7;2;3;3;2;1;0;0;0;1;2;2;1;0;1;0;1;1;0;2;0;0;0;1;1;0;2;1;0;1;0;0;0;0;0;0;1;2;2;0;0;0;0;1;0;3;0;0;0;0;0;0
altern;1;0;3;1;2;0;5;2;0;2;3;2;0;1;2;1;2;1;1;1;2;2;2;3;2;1;1;2;1;0;2;1;2;2;2;1;1;1;0;0;0;0;0;2;0;2;3;0;1;1;0;0;0;1;0;0;0
defens;3;1;5;1;2;1;4;0;3;0;2;2;0;0;0;1;0;0;0;3;0;3;0;1;0;0;2;1;1;0;1;3;3;2;0;2;1;0;2;0;2;2;1;1;1;2;4;1;1;0;0;0;2;0;1;0;0
race;6;2;4;3;1;0;4;2;1;2;2;0;0;2;1;4;1;0;1;0;1;0;0;0;0;0;0;0;0;2;0;1;2;0;0;0;0;1;3;2;0;2;1;5;0;2;0;1;1;1;0;1;1;1;2;2;0
understand;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;1;0;2;0;1;1;0;0;0;0;2;1;0;1;0;1;0;2;1;2;1;2;2;2;2;2;0;1;4;2;2;0;1;2;2;3;1;4;4;7;2
person trait;1;0;0;2;0;1;0;0;0;0;0;2;0;0;2;0;2;2;0;2;2;0;1;0;1;0;1;0;0;0;0;1;1;0;1;1;2;2;0;1;2;2;1;2;0;1;3;4;2;1;4;3;4;3;5;1;1
research;0;1;2;2;0;1;1;2;4;1;2;2;1;4;1;1;1;1;1;3;2;1;4;1;2;2;0;0;0;2;5;2;0;0;0;0;1;0;0;1;0;0;0;2;2;0;0;1;1;1;1;1;1;1;1;1;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;5;3;2;3;4;0;4;2;2;1;2;1;2;3;2;1;0;0;4;1;2;1;2;1;2;0;0;0;2;1;2;0;0;4;2;0;0
social interact;2;2;0;0;0;2;2;1;1;1;0;0;1;2;3;2;3;4;2;4;2;2;1;0;1;1;0;2;1;1;0;5;4;1;1;0;2;1;0;0;0;1;3;2;0;0;0;0;0;1;0;0;0;0;0;1;1
decis make;0;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;3;0;1;0;5;2;2;2;3;1;2;3;4;1;3;2;0;1;0;0;1;1;0;2;1;1;2;2;0;1;1;2;3;4;0;1;1;0;0;0;0
commit;3;3;1;4;1;1;5;2;0;3;1;0;0;1;0;2;3;1;2;0;0;1;0;1;0;1;0;0;0;1;0;1;5;2;2;0;1;3;1;0;0;1;0;1;2;0;2;2;1;1;0;1;1;1;1;0;0
depend;4;2;1;2;1;4;1;1;1;2;0;3;1;1;1;2;0;0;0;3;0;1;1;1;0;1;0;1;1;0;3;0;2;2;0;1;1;1;0;1;2;0;2;2;3;2;0;1;1;2;0;1;0;1;0;2;0
work;2;0;0;1;0;0;0;1;0;0;2;0;0;0;1;0;1;1;0;0;3;3;1;0;2;2;3;0;1;3;0;3;1;2;1;0;1;2;3;2;0;1;1;3;5;0;3;1;0;0;0;0;1;2;2;3;2
automat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;2;2;4;1;0;1;2;2;1;2;3;0;1;1;3;9;0;1;5;2;5;3;2;1;1;2;0;3;1;1;0;0;0;2;0;0
sex differ;2;0;1;0;0;0;0;0;2;0;4;0;1;1;6;4;6;4;2;3;4;4;0;0;0;2;0;0;2;0;0;0;2;4;0;0;0;1;1;0;1;0;0;2;1;0;0;0;0;1;2;0;0;0;0;2;0
well be;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;3;0;2;0;0;1;0;0;1;1;2;4;3;4;1;0;2;3;1;0;3;3;0;0;3;3;1;2;2;1;3;1;6;3;3;0
feedback;3;4;0;2;1;1;2;3;1;4;2;1;2;2;1;2;6;2;1;0;0;3;1;4;3;1;1;2;0;3;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
longitudin studi;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;1;0;1;2;1;2;0;1;1;4;3;2;2;1;2;2;2;0;1;2;0;0;1;0;2;2;1;1;4;1;1;1;0;0;1;2;3;7;1
sourc;1;1;2;1;2;3;2;1;2;2;1;0;0;1;0;2;4;1;4;1;2;1;1;2;1;2;0;1;0;2;1;0;1;2;1;2;0;0;0;0;0;0;2;0;3;3;0;1;1;0;1;1;0;0;0;2;0
predictor;0;1;1;1;0;0;1;1;2;0;0;0;0;0;0;0;0;2;2;0;4;4;2;0;2;4;1;3;3;3;2;2;4;1;2;2;2;0;0;0;0;0;2;2;3;0;1;0;0;0;1;0;0;1;1;1;0
