Lemma;Categoria;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;Totale
battistero;religious (place);0;0;1;0;0;0;1;0;3;0;0;1;0;4;1;0;0;2;0;0;0;0;0;0;1;3;3;0;0;0;0;0;1;0;0;4;0;2;0;0;1;0;4;0;0;0;0;1;0;4;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;2;0;0;0;0;0;0;0;0;0;51
bazar;public (place);0;0;1;0;0;0;0;0;0;5;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;2;0;0;0;0;0;1;2;0;4;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;1;1;0;2;0;0;0;0;1;1;0;1;1;0;1;1;1;1;45
biblioteca;educational (place);2;0;8;0;2;1;8;0;2;8;0;7;0;2;0;4;0;0;2;2;2;11;0;2;1;9;6;2;0;4;12;4;6;1;6;12;3;0;5;2;2;11;7;11;1;6;2;51;8;2;4;28;10;1;2;28;7;4;5;6;7;6;6;37;19;2;15;5;10;2;12;6;9;17;39;4;8;2;8;2;12;4;6;12;3;4;3;18;6;1;5;7;16;3;1;16;7;7;6;0;2;687
bicocca;civil (place);0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;4;2;0;0;0;0;13;0;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;1;1;0;4;2;0;1;7;1;0;0;0;0;3;0;5;0;0;0;0;0;0;1;0;3;1;0;1;0;1;0;0;0;72
biglietteria;commercial (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
birreria;commercial (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;2;0;3;0;9;0;1;1;3;2;0;0;0;1;1;0;0;0;1;5;0;0;0;1;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;42
bivacco;rural (place);1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;2;0;2;0;0;1;1;2;0;0;5;3;0;0;0;1;1;2;0;0;0;0;2;0;0;0;1;0;0;3;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;4;1;1;0;1;0;0;0;3;49
bordello;commercial (place);0;0;0;0;0;0;0;0;2;1;1;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;3;0;0;0;1;0;0;0;2;0;0;0;4;1;0;0;3;0;1;0;0;1;0;1;0;6;1;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;1;6;0;1;0;0;1;5;0;0;0;0;1;1;0;0;0;0;61
bottega;commercial (place);10;0;7;39;18;2;32;38;30;47;39;20;44;28;34;3;21;33;4;13;33;17;3;44;8;36;70;24;40;6;18;12;44;8;32;9;14;4;49;20;13;39;10;3;36;32;6;10;32;42;20;74;34;32;62;40;72;27;33;38;17;126;21;30;5;2;6;16;3;28;3;29;97;17;7;34;22;10;35;18;16;16;32;29;23;20;9;5;22;75;10;7;10;54;20;26;68;47;14;40;16;2693
boutique;commercial (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
bugigattolo;civil (place);0;0;0;1;1;0;0;0;1;3;0;0;3;2;0;0;0;1;0;0;4;0;1;1;0;2;1;3;1;0;0;0;5;0;1;2;3;1;0;1;0;2;4;0;1;2;0;0;2;3;1;3;2;1;3;7;3;1;7;2;3;1;6;0;0;1;6;0;1;0;0;1;1;2;1;1;1;2;2;1;0;0;0;1;0;1;0;3;1;2;0;1;1;1;0;0;1;2;0;0;0;126
bungalow;rural (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;18
calzaturificio;industrial (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
camera_di_commercio;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11
campanile;religious (place);4;0;9;8;4;2;5;4;12;10;0;8;19;10;3;2;0;4;0;7;7;6;4;2;6;8;9;13;17;2;14;14;8;0;8;15;4;10;1;2;8;10;16;5;15;30;6;5;5;12;10;29;11;11;14;22;14;3;14;17;17;6;6;15;6;2;0;5;0;8;14;9;18;6;9;3;11;3;5;2;2;3;0;5;25;3;7;10;11;7;6;19;13;11;4;12;24;7;6;4;6;848
campeggio;commercial (place);0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8
campo_di_aviazione;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
campo_di_concentramento;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0;0;0;5
camposanto;religious (place);0;0;2;2;1;0;0;104;1;6;0;4;14;10;1;0;0;6;0;4;4;5;1;2;0;1;2;6;0;0;9;4;0;2;6;11;1;6;1;1;3;6;8;4;8;9;1;1;6;4;0;3;4;0;1;20;14;1;3;13;8;2;0;7;1;9;8;1;0;11;7;11;3;3;6;6;0;5;0;0;2;8;5;7;11;2;3;1;4;3;0;11;1;9;4;3;3;1;0;2;0;494
canile;public (place);1;1;2;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;3;0;0;1;4;3;0;2;0;0;1;0;0;0;0;0;0;0;1;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;1;0;0;0;2;0;0;0;0;0;0;0;9;0;1;1;0;0;0;1;0;0;3;3;2;0;0;59
canonica;civil (place);5;1;0;0;1;1;2;5;7;0;0;4;1;0;0;2;0;2;0;0;7;0;0;2;2;13;1;22;10;1;1;4;0;0;7;6;1;0;0;2;2;0;1;0;1;2;1;0;0;0;2;3;4;11;1;1;3;2;10;0;1;0;2;0;0;2;0;0;0;0;0;4;1;0;0;0;5;0;0;0;0;3;0;1;1;8;0;1;0;0;5;1;0;5;0;0;0;3;1;0;0;198
cantiere;civil (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;2;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;4;1;1;0;0;2;1;10;0;0;1;0;0;0;0;1;0;0;0;1;3;1;0;8;0;1;0;1;2;2;0;2;0;12;1;0;0;2;0;3;0;1;1;1;0;3;77
